,Name,Test_resistance/MultiLabelAUPRC_0,Test_resistance/MultiLabelAUPRC_1,Test_resistance/MultiLabelAUPRC_2,Test_resistance/MultiLabelAUPRC_3,Test_resistance/MultiLabelAUPRC_4,Test_resistance/MultilabelF1Score_0,Test_resistance/MultilabelF1Score_1,Test_resistance/MultilabelF1Score_2,Test_resistance/MultilabelF1Score_3,Test_resistance/MultilabelF1Score_4,Test_species/MultiClassAUPRC,Test_species/MulticlassF1Score
0,MLP_LDA,0.3083066344261169,0.1856052279472351,0.1811445206403732,0.0719529092311859,0.1356892883777618,0.0,0.0,0.0,0,0.0,0.9976899027824402,0.9911701083183287
1,MLP_PCA,0.3360112607479095,0.2854959368705749,0.2138872295618057,0.0838243961334228,0.1844199001789093,0.0048543689772486,0.0,0.0,0,0.0,0.9999985694885254,0.9994246363639832
2,MLP_FS,0.3331254124641418,0.2196157425642013,0.1681633591651916,0.0871623083949089,0.1531805098056793,0.0,0.0,0.0,0,0.0,0.9996652007102966,0.993653416633606
3,MLP_All_features,0.6715789437294006,0.8284708261489868,0.7800130844116211,0.1636614203453064,0.4779418706893921,0.598802387714386,0.738898754119873,0.7307692170143127,0,0.2399999946355819,1.0,0.9998561143875122
