"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dr","hidden_dim","input_dim","lr","n_hidden_layers","resistance_labels","species_classes","Test/test_loss","Test_resistance/MultiLabelAUPRC_0","Test_resistance/MultiLabelAUPRC_1","Test_resistance/MultiLabelAUPRC_2","Test_resistance/MultiLabelAUPRC_3","Test_resistance/MultiLabelAUPRC_4","Test_resistance/MultilabelAccuracy_0","Test_resistance/MultilabelAccuracy_1","Test_resistance/MultilabelAccuracy_2","Test_resistance/MultilabelAccuracy_3","Test_resistance/MultilabelAccuracy_4","Test_resistance/MultilabelF1Score_0","Test_resistance/MultilabelF1Score_1","Test_resistance/MultilabelF1Score_2","Test_resistance/MultilabelF1Score_3","Test_resistance/MultilabelF1Score_4","Test_resistance/MultilabelPrecision_0","Test_resistance/MultilabelPrecision_1","Test_resistance/MultilabelPrecision_2","Test_resistance/MultilabelPrecision_3","Test_resistance/MultilabelPrecision_4","Test_resistance/MultilabelRecall_0","Test_resistance/MultilabelRecall_1","Test_resistance/MultilabelRecall_2","Test_resistance/MultilabelRecall_3","Test_resistance/MultilabelRecall_4","Test_species/MultiClassAUPRC","Test_species/MulticlassAccuracy","Test_species/MulticlassF1Score","Test_species/MulticlassPrecision","Test_species/MulticlassRecall","Train_resistance/MultiLabelAUPRC_0","Train_resistance/MultiLabelAUPRC_1","Train_resistance/MultiLabelAUPRC_2","Train_resistance/MultiLabelAUPRC_3","Train_resistance/MultiLabelAUPRC_4","Train_resistance/MultilabelAccuracy_0","Train_resistance/MultilabelAccuracy_1","Train_resistance/MultilabelAccuracy_2","Train_resistance/MultilabelAccuracy_3","Train_resistance/MultilabelAccuracy_4","Train_resistance/MultilabelF1Score_0","Train_resistance/MultilabelF1Score_1","Train_resistance/MultilabelF1Score_2","Train_resistance/MultilabelF1Score_3","Train_resistance/MultilabelF1Score_4","Train_resistance/MultilabelPrecision_0","Train_resistance/MultilabelPrecision_1","Train_resistance/MultilabelPrecision_2","Train_resistance/MultilabelPrecision_3","Train_resistance/MultilabelPrecision_4","Train_resistance/MultilabelRecall_0","Train_resistance/MultilabelRecall_1","Train_resistance/MultilabelRecall_2","Train_resistance/MultilabelRecall_3","Train_resistance/MultilabelRecall_4","Train_species/MultiClassAUPRC","Train_species/MulticlassAccuracy","Train_species/MulticlassF1Score","Train_species/MulticlassPrecision","Train_species/MulticlassRecall","Training/train_loss","Valid_resistance/MultiLabelAUPRC_0","Valid_resistance/MultiLabelAUPRC_1","Valid_resistance/MultiLabelAUPRC_2","Valid_resistance/MultiLabelAUPRC_3","Valid_resistance/MultiLabelAUPRC_4","Valid_resistance/MultilabelAccuracy_0","Valid_resistance/MultilabelAccuracy_1","Valid_resistance/MultilabelAccuracy_2","Valid_resistance/MultilabelAccuracy_3","Valid_resistance/MultilabelAccuracy_4","Valid_resistance/MultilabelF1Score_0","Valid_resistance/MultilabelF1Score_1","Valid_resistance/MultilabelF1Score_2","Valid_resistance/MultilabelF1Score_3","Valid_resistance/MultilabelF1Score_4","Valid_resistance/MultilabelPrecision_0","Valid_resistance/MultilabelPrecision_1","Valid_resistance/MultilabelPrecision_2","Valid_resistance/MultilabelPrecision_3","Valid_resistance/MultilabelPrecision_4","Valid_resistance/MultilabelRecall_0","Valid_resistance/MultilabelRecall_1","Valid_resistance/MultilabelRecall_2","Valid_resistance/MultilabelRecall_3","Valid_resistance/MultilabelRecall_4","Valid_species/MultiClassAUPRC","Valid_species/MulticlassAccuracy","Valid_species/MulticlassF1Score","Valid_species/MulticlassPrecision","Valid_species/MulticlassRecall","Validation/val_loss","epoch","trainer/global_step"
"MLP_LDA","finished","-","","","2024-05-23T17:34:48.000Z","233","","0.1","128","2","0.00003","4","5","3","0.6867093443870544","0.30830663442611694","0.1856052279472351","0.18114452064037323","0.07195290923118591","0.13568928837776184","0.9366229772567748","0.9508095383644104","0.973785638809204","0.992444097995758","0.9753276705741882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9976899027824402","0.9909879565238952","0.9911701083183287","0.9913746118545532","0.9909879565238952","0.2621377408504486","0.20888787508010864","0.16031542420387268","0.0792326033115387","0.12824690341949463","0.9413514733314514","0.946608066558838","0.9714691638946532","0.9916027784347534","0.97870934009552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9999528527259828","0.9995169639587402","0.9995516538619996","0.9995864629745485","0.9995169639587402","0.6564794778823853","0.2971145212650299","0.18225640058517456","0.14891180396080017","0.11786284297704697","0.14243042469024658","0.9367673993110656","0.951727330684662","0.974090039730072","0.9927513599395752","0.976711928844452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9961139559745787","0.9920859336853028","0.9926519989967346","0.9932495951652528","0.9920859336853028","0.6836991310119629","38","35948"
"MLP_PCA","finished","-","","","2024-05-23T16:57:18.000Z","510","","0.1","128","10","0.00003","4","5","3","0.6439790725708008","0.33601126074790955","0.28549593687057495","0.21388722956180573","0.08382439613342285","0.1844199001789093","0.9367771744728088","0.9508095383644104","0.973785638809204","0.992444097995758","0.9753276705741882","0.004854368977248669","0","0","0","0","1","0","0","0","0","0.002433090005069971","0","0","0","0","0.9999985694885254","0.9996379613876344","0.9994246363639832","0.9992125034332277","0.9996379613876344","0.28055882453918457","0.25483059883117676","0.2182789444923401","0.11232773959636688","0.16217023134231567","0.9413845539093018","0.946608066558838","0.971535325050354","0.9916027784347534","0.97870934009552","0.003372681327164173","0","0.004624277353286743","0","0","0.6000000238418579","0","1","0","0","0.0016910935519263148","0","0.0023174970410764217","0","0","0.9999308586120604","0.9979735612869264","0.9980418682098388","0.9981101751327516","0.9979735612869264","0.6344876885414124","0.3258823752403259","0.24698816239833832","0.18575215339660645","0.08211735635995865","0.17107455432415009","0.9367673993110656","0.951727330684662","0.974090039730072","0.9927513599395752","0.976711928844452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.999997079372406","0.998960256576538","0.9988105297088624","0.998664379119873","0.998960256576538","0.6445052623748779","86","81356"
"MLP_FS","finished","-","","","2024-05-23T16:44:18.000Z","594","","0.1","128","3","0.00003","4","5","3","0.6619783639907837","0.33312541246414185","0.21961574256420135","0.16816335916519165","0.0871623083949089","0.15318050980567932","0.9366229772567748","0.9508095383644104","0.973785638809204","0.992444097995758","0.9753276705741882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9996652007102966","0.9935485124588012","0.993653416633606","0.9937586784362792","0.9935485124588012","0.2886522114276886","0.2266865223646164","0.17154791951179504","0.08101074397563934","0.13868080079555511","0.9413514733314514","0.946608066558838","0.9714691638946532","0.9916027784347534","0.97870934009552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9996471405029296","0.9956125020980836","0.995205283164978","0.9948055744171144","0.9956125020980836","0.7245334982872009","0.32917168736457825","0.2141129970550537","0.17673128843307495","0.071573406457901","0.13476043939590454","0.9367673993110656","0.951727330684662","0.974090039730072","0.9927513599395752","0.976711928844452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9999069571495056","0.9963991045951844","0.996155083179474","0.995912790298462","0.9963991045951844","0.6530030965805054","100","94600"
"MLP_All_features","finished","-","","","2024-05-23T15:40:59.000Z","1185","","0.1","128","6000","0.00003","4","5","3","0.6124342083930969","0.6715789437294006","0.8284708261489868","0.7800130844116211","0.1636614203453064","0.4779418706893921","0.9586738348007202","0.9773322939872742","0.987047016620636","0.992444097995758","0.9765613079071044","0.598802387714386","0.738898754119873","0.7307692170143127","0","0.23999999463558197","0.7782101035118103","0.8524590134620667","0.8028169274330139","0","0.6000000238418579","0.4866180121898651","0.6520376205444336","0.6705882549285889","0","0.15000000596046448","1","0.999909520149231","0.9998561143875122","0.999802827835083","0.999909520149231","0.7110141515731812","0.8917816877365112","0.8592374324798584","0.25224530696868896","0.5386574268341064","0.9626421332359314","0.9804945588111876","0.9890902042388916","0.991635799407959","0.9812549352645874","0.6295081973075867","0.8042468428611755","0.8026315569877625","0.007843137718737125","0.3870270252227783","0.7523511052131653","0.8663330674171448","0.8294190168380737","1","0.6370106935501099","0.541149914264679","0.7504643797874451","0.7775202989578247","0.003937007859349251","0.27795031666755676","0.9999982714653016","0.9992948770523072","0.9992948770523072","0.9992948770523072","0.9992948770523072","0.6148110628128052","0.6805657744407654","0.7963433861732483","0.7754725813865662","0.1317087709903717","0.5453388094902039","0.9574337005615234","0.976711928844452","0.9861196875572203","0.9927513599395752","0.9805675745010376","0.5905044674873352","0.7317939400672913","0.7133758068084717","0","0.3700000047683716","0.7537878751754761","0.8240000009536743","0.767123281955719","0","0.7551020383834839","0.4853658676147461","0.6581469774246216","0.6666666865348816","0","0.2450331151485443","1","0.999332308769226","0.9993788003921508","0.9994263052940368","0.999332308769226","0.6143912076950073","100","94600"
